Date,Week,TransType,Player,Position,Team,From,To,By,TransCosts
2020-10-17 15:13:00,6,Lineup,Jerry Jeudy,WR,DEN,WR,BN,Liam via Mobile Device,
2020-10-18 06:53:00,6,Lineup,Laviska Shenault Jr.,WR,JAX,R/W/T,WR,Liam via Mobile Device,
2020-10-18 06:53:00,6,Lineup,Mecole Hardman,WR,KC,WR,R/W/T,Liam via Mobile Device,
2020-10-18 06:53:00,6,Lineup,Tee Higgins,WR,CIN,R/W/T,BN,Liam via Mobile Device,
2020-10-18 06:53:00,6,Lineup,Laviska Shenault Jr.,WR,JAX,BN,R/W/T,Liam via Mobile Device,
2020-10-18 08:45:00,6,Lineup,Derrick Henry,RB,TEN,R/W/T,RB,Jess via Mobile Device,
2020-10-18 08:45:00,6,Lineup,Mark Ingram,RB,BAL,RB,R/W/T,Jess via Mobile Device,
2020-10-18 08:45:00,6,Lineup,Hunter Renfrow,WR,LV,WR,BN,Jess via Mobile Device,
2020-10-18 08:45:00,6,Lineup,Julio Jones,WR,ATL,BN,WR,Jess via Mobile Device,
2020-10-18 08:45:00,6,Lineup,Justin Herbert,QB,LAC,QB,BN,Jess via Mobile Device,
2020-10-18 08:45:00,6,Lineup,Carson Wentz,QB,PHI,BN,QB,Jess via Mobile Device,
2020-10-18 08:46:00,6,Lineup,Mark Ingram,RB,BAL,R/W/T,BN,Jess via Mobile Device,
2020-10-18 08:46:00,6,Lineup,Marvin Jones,WR,DET,BN,R/W/T,Jess via Mobile Device,
2020-10-18 12:35:00,6,Drop,T.Y. Hilton,WR,IND,Do it for George,Waivers,Matt,
2020-10-18 12:38:00,6,Add,Zack Moss,RB,BUF,Free Agents,Do it for George,Matt,
2020-10-18 12:58:00,6,Add,Tom Brady,QB,TB,Free Agents,Do it for George,Matt,
2020-10-18 12:58:00,6,Drop,Evan Engram,TE,NYG,Do it for George,Waivers,Matt,
2020-10-18 14:21:00,6,Drop,Los Angeles Chargers DEF,DEF,LAC,Do it for George,Waivers,Matt via Mobile Device,
2020-10-18 14:21:00,6,Add,Cole Beasley,WR,BUF,Free Agents,Do it for George,Matt via Mobile Device,
2020-10-20 04:55:00,7,Drop,J.K. Dobbins,RB,BAL,The Longest Yard,Waivers,Lucas via Mobile Device,
